ชื่อสาขา,ที่อยู่,ละติจูด,ลองจิจูด,คะแนนเฉลี่ย,จำนวนรีวิว,ลักษณะทำเล,ประเภทกลุ่มเป้าหมาย,จำนวนสาขาในรัศมี_2_กม,ระยะห่างจากสาขาใกล้สุด_กม,Place_ID
Café Amazon,306 ถ. สุขยางค์ ตำบล เบตง อำเภอเบตง ยะลา 95110 ประเทศไทย,5.7717952,101.0703302,4.6,121,ไม่สามารถระบุได้,,1,1.71,ChIJC08hHYnntDERyMvSNbMbMY4
Café Amazon PTT Betong,"Sukayang Road, ตำบล เบตง อำเภอเบตง ยะลา 95110 ประเทศไทย",5.787247,101.0716259,4.5,157,ไม่สามารถระบุได้,,1,1.71,ChIJYa-rDU_ltDERAGQQG8Aigi8
Café Amazon ปตท.แว้ง,WVXQ+698 ตอออ ตำบล แว้ง อำเภอ แว้ง นราธิวาส 96160 ประเทศไทย,5.9480321,101.8884417,4.6,29,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,9.8,ChIJUUCZme8XtDERQPKRuiAWJ1c
Café Amazon,"8 Prachawiwat Soi 1, ตำบล สุไหงโก-ลก อำเภอ สุไหงโก-ลก นราธิวาส 96120 ประเทศไทย",6.020349,101.9483088,4.5,28,ไม่สามารถระบุได้,,1,0.78,ChIJ7dxrzYsbtDERwo1aiBwxF-A
Cafe Amazon โรงพยาบาลสุไหงโก-ลก,1 ถนน ทรายทอง 5 ตำบล สุไหงโก-ลก อำเภอ สุไหงโก-ลก นราธิวาส 96120 ประเทศไทย,6.027425999999999,101.9698981,4.9,7,ไม่สามารถระบุได้,ผู้ป่วย/บุคลากรทางการแพทย์,0,2.51,ChIJrwVrbOIbtDERozsze0RM3dk
Café Amazon Bigc Sugaikolok,อารคารศูนย์การค้าบิ๊กซีชุปเปอร์เซ็นเตอร์สาขา เลขที่ 867 ถนนประชาวิวัฒน์ ตำบล สุไหงโก-ลก อำเภอ สุไหงโก-ลก นราธิวาส 96120 ประเทศไทย,6.019038,101.9413434,0.0,0,ไม่สามารถระบุได้,,1,0.78,ChIJ860tSvYZtDER9WRfIRg_5_k
Café Amazon Pasemat,168 หมู่3 ตำบล ปาเสมัส อำเภอ สุไหงโก-ลก นราธิวาส 96120 ประเทศไทย,6.049398699999999,101.9995124,4.5,222,ไม่สามารถระบุได้,,0,2.57,ChIJpV8FjwEdtDERbfufLJm166E
คาเฟ่ อเมซอน Big C สุไหงโก-ลก,3XCR+GQJ ตำบล ปาเสมัส อำเภอ สุไหงโก-ลก นราธิวาส 96120 ประเทศไทย,6.071339999999999,101.9918779,0.0,0,ไม่สามารถระบุได้,นักช้อป,0,2.57,ChIJn1VzfesdtDERagmFWv1hOko
Café amazon ปตท.ธารโต,556Q+5G2 ตำบล ธารโต อำเภอ ธารโต ยะลา 95150 ประเทศไทย,6.16038,101.1887589,4.2,67,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,13.96,ChIJ-YwHTO2FtDER-Vjt8ZVRqyo
Café Amazon ปตท.บันนังสตา,7776+R2C ตำบล บันนังสตา อำเภอ บันนังสตา ยะลา 95130 ประเทศไทย,6.2645594,101.2600245,3.8,21,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,13.96,ChIJ6_NMZjCBtDERsSiueBya6cw
